m;ep;log_ep,log_C 
6;0.000;-716.2806195487;-inf
6;0.000;-711.8621826515;-inf
6;0.000;-716.2830112342;-inf
6;0.000;-716.2807997508;-inf
6;0.000;-711.8621826259;-inf
6;0.000;-716.2806195487;-inf
7;15.300;2.7278528284;-0.1248246099
7;15.606;2.7476554557;-0.1142807556
7;15.918;2.7674580830;-0.1029576310
7;16.236;2.7872607103;-0.0979332374
7;16.561;2.8070633376;-0.0888355958
7;16.892;2.8268659649;-0.0809787243
7;17.230;2.8466685922;-0.0688783174
7;17.575;2.8664712195;-0.0560740451
7;17.926;2.8862738468;-0.0459473763
7;18.285;2.9060764741;-0.0281937894
7;18.651;2.9258791014;-0.0139975368
7;19.024;2.9456817287;-0.0056292871
7;19.404;2.9654843560;-0.0016051368
7;19.792;2.9852869832;-0.0005347594
7;20.188;3.0050896105;0.0000000000
7;20.592;3.0248922378;0.0000000000
7;21.004;3.0446948651;0.0000000000
7;21.424;3.0644974924;0.0000000000
7;21.852;3.0843001197;0.0000000000
7;22.289;3.1041027470;0.0000000000
7;22.735;3.1239053743;0.0000000000
7;23.190;3.1437080016;0.0000000000
7;23.653;3.1635106289;0.0000000000
7;24.127;3.1833132562;0.0000000000
7;24.609;3.2031158835;0.0000000000
7;25.101;3.2229185108;0.0000000000
7;25.603;3.2427211381;0.0000000000
7;26.115;3.2625237654;0.0000000000
7;26.638;3.2823263927;0.0000000000
7;27.170;3.3021290200;0.0000000000
7;27.714;3.3219316473;0.0000000000
7;28.268;3.3417342746;0.0000000000
7;28.833;3.3615369019;0.0000000000
7;29.410;3.3813395292;0.0000000000
7;29.998;3.4011421565;0.0000000000
7;30.598;3.4209447838;0.0000000000
7;31.210;3.4407474111;0.0000000000
7;31.834;3.4605500384;0.0000000000
7;32.471;3.4803526657;0.0000000000
7;33.121;3.5001552929;0.0000000000
7;33.783;3.5199579202;0.0000000000
